file,split,uav_x,uav_y,uav_z,qw,qx,qy,qz,dist_m,box_x1,box_y1,box_x2,box_y2,img_w,img_h
h_1789607498952759888.jpg,train,-0.027,-0.034,7.548,-0.2899,-0.0088,0.0021,-0.9570,7.41,435.2,257.4,542.2,364.4,960,600
h_1789607536105700851.jpg,val,-0.051,0.055,14.115,-0.5067,-0.0031,0.0215,-0.8619,13.98,435.7,290.8,491.4,346.5,960,600
h_1789607537996948066.jpg,train,-1.048,-0.621,14.127,-0.4984,0.0096,0.0362,-0.8661,14.05,462.5,282.9,518.0,338.6,960,600
h_1789607539011301358.jpg,train,-2.328,-1.418,14.149,-0.4953,-0.0347,-0.0452,-0.8668,14.30,633.9,278.6,693.1,336.1,960,600
h_1789607540032430208.jpg,train,-2.945,-1.788,14.165,-0.5043,-0.0336,-0.0431,-0.8618,14.47,661.9,275.0,721.2,332.4,960,600
h_1789607541064452042.jpg,train,-2.734,-1.622,14.166,-0.5108,0.0241,0.0569,-0.8575,14.39,512.5,277.6,565.5,331.8,960,600
h_1789607542086295823.jpg,train,-3.125,-1.756,14.184,-0.5050,-0.0208,-0.0130,-0.8627,14.52,627.2,285.1,683.9,341.3,960,600
h_1789607543701193758.jpg,val,-3.527,-1.919,14.183,-0.5581,-0.0149,-0.0092,-0.8296,14.63,638.0,263.2,691.9,316.8,960,600
h_1789607544725082554.jpg,train,-3.261,-1.788,14.183,-0.8523,-0.0041,0.0003,-0.5230,14.54,544.3,150.4,599.2,205.1,960,600
h_1789607545748194327.jpg,val,-2.939,-1.650,14.166,-0.9770,-0.0115,0.0134,-0.2125,14.43,453.9,155.4,507.6,208.5,960,600
h_1789607546982669899.jpg,train,-2.725,-1.637,14.157,-0.9813,-0.0039,0.0227,-0.1912,14.37,435.5,173.5,488.1,225.6,960,600
h_1789607547991201567.jpg,train,-2.804,-1.763,14.160,-0.9957,-0.0022,0.0197,-0.0902,14.40,409.5,175.0,456.7,221.7,960,600
h_1789607549016531070.jpg,val,-3.097,-1.942,14.165,-0.9993,0.0002,0.0117,0.0345,14.49,373.8,172.0,417.0,215.1,960,600
h_1789607550049508289.jpg,val,-3.465,-2.110,14.162,-0.9872,0.0044,0.0044,0.1592,14.59,326.5,173.1,378.0,224.5,960,600
h_1789607551069506430.jpg,train,-3.752,-2.218,14.161,-0.9596,0.0077,0.0013,0.2813,14.67,286.7,195.5,343.5,251.9,960,600
h_1789607552092892250.jpg,train,-3.873,-2.240,14.161,-0.9170,0.0082,0.0024,0.3989,14.70,267.4,236.5,325.5,294.3,960,600
h_1789607554173860637.jpg,train,-3.700,-2.100,13.657,-0.9377,0.0015,0.0073,0.3475,14.16,285.0,218.1,344.5,277.6,960,600
h_1789607555691366748.jpg,train,-3.528,-1.966,12.444,-0.9619,0.0001,0.0137,0.2732,12.94,292.4,192.7,355.7,256.1,960,600
h_1789607564579814361.jpg,train,-3.633,-1.972,11.872,-0.9717,-0.0015,0.0104,0.2361,12.43,289.3,166.2,354.3,231.3,960,600
h_1789607565604278606.jpg,val,-3.628,-1.908,11.870,-0.9998,0.0018,0.0087,-0.0187,12.42,369.5,105.6,420.0,155.7,960,600
